,XLF,XLF,XLI,XLI,XLRE,XLRE,AGG,AGG,SHY,SHY
,close,daily_return,close,daily_return,close,daily_return,close,daily_return,close,daily_return
timestamp,,,,,,,,,,
2018-12-04 05:00:00+00:00,25.96,-0.04347826086956519,70.26,-0.042779291553133536,33.56,-0.013231402528667946,105.08,0.0026717557251909607,83.1,0.0007225433526010239
2018-12-06 05:00:00+00:00,25.58,-0.014637904468413065,69.87,-0.005550811272416745,34.48,0.02741358760429069,105.34,0.0024743052912068464,83.18,0.0009626955475332544
2018-12-07 05:00:00+00:00,25.11,-0.018373729476153233,68.03,-0.026334621439816797,33.96,-0.015081206496519561,105.48,0.001329029808240012,83.27,0.0010819908631880537
2018-12-10 05:00:00+00:00,24.76,-0.013938669852648244,68.2,0.002498897545200718,33.83,-0.00382803297997647,105.55,0.0006636329161926469,83.27,0.0
2018-12-11 05:00:00+00:00,24.52,-0.009693053311793265,67.8,-0.0058651026392962935,33.89,0.001773573751108648,105.58,0.0002842254855519588,83.19,-0.0009607301549177105
2018-12-12 05:00:00+00:00,24.66,0.005709624796084833,68.18,0.0056047197640118895,33.25,-0.018884626733549736,105.5,-0.0007577192650123354,83.18,-0.00012020675561952299
2018-12-13 05:00:00+00:00,24.48,-0.007299270072992692,67.99,-0.0027867409797596165,33.48,0.006917293233082544,105.53,0.00028436018957345155,83.26,0.0009617696561672329
2018-12-14 05:00:00+00:00,24.24,-0.009803921568627527,67.05,-0.013825562582732709,33.42,-0.0017921146953403522,105.56,0.0002842793518431641,83.305,0.0005404756185443116
2018-12-17 05:00:00+00:00,24.01,-0.009488448844884312,65.95,-0.0164056674123787,32.17,-0.03740275284260919,105.74,0.0017051913603636226,83.39,0.001020346917951942
2018-12-18 05:00:00+00:00,23.91,-0.004164931278633932,66.28,0.005003790750568671,32.49,0.00994715573515692,105.84,0.000945715906941702,83.32,-0.0008394291881521632
2018-12-19 05:00:00+00:00,23.61,-0.012547051442910906,65.03,-0.01885938442969226,32.19,-0.009233610341643717,105.94,0.0009448223733936612,83.34,0.00024003840614517102
2018-12-20 05:00:00+00:00,23.41,-0.008470986869970276,63.84,-0.01829924650161463,31.8,-0.012115563839701693,105.84,-0.0009439305267131548,83.33,-0.00011999040076804413
2018-12-21 05:00:00+00:00,22.81,-0.025630072618539113,62.25,-0.024906015037594043,30.95,-0.026729559748427723,105.79,-0.0004724111866968306,83.39,0.0007200288011521838
2018-12-24 05:00:00+00:00,22.31,-0.02192021043402015,60.34,-0.03068273092369478,29.81,-0.03683360258481427,105.86,0.000661688250307213,83.46,0.0008394291881519411
2018-12-26 05:00:00+00:00,23.32,0.045271178843568016,63.15,0.04656943984090156,30.76,0.0318685005031869,105.66,-0.0018892877385225937,83.38,-0.0009585430146177298
2018-12-27 05:00:00+00:00,23.57,0.010720411663807994,63.94,0.012509897070467124,30.83,0.002275682704811377,105.83,0.0016089343176226567,83.47,0.001079395538498451
2018-12-28 05:00:00+00:00,23.59,0.0008485362749257597,63.77,-0.0026587425711603885,30.94,0.003567953292247905,106.22,0.0036851554379666585,83.59,0.0014376422666826372
2018-12-31 05:00:00+00:00,23.82,0.009749894022891059,64.41,0.010036067116198755,31.0,0.0019392372333548735,106.49,0.0025418941818866614,83.62,0.00035889460461779876
2019-01-02 05:00:00+00:00,23.99,0.00713685978169587,64.74,0.005123428039124356,30.29,-0.022903225806451655,106.57,0.0007512442482862092,83.63,0.00011958861516370156
2019-01-03 05:00:00+00:00,23.48,-0.021258857857440527,62.77,-0.03042940994748211,30.43,0.004621987454605403,107.01,0.004128741672140501,83.8,0.002032763362429746
2019-01-04 05:00:00+00:00,24.24,0.03236797274275971,65.16,0.03807551378046825,30.74,0.010187315149523535,106.69,-0.002990374731333567,83.62,-0.0021479713603818062
2019-01-07 05:00:00+00:00,24.3,0.0024752475247524774,65.68,0.00798035604665448,31.0,0.008458035133376729,106.51,-0.0016871309401067514,83.56,-0.0007175316909830975
2019-01-08 05:00:00+00:00,24.31,0.00041152263374466536,66.58,0.013702801461632053,31.54,0.0174193548387096,106.43,-0.000751103182799695,83.51,-0.0005983724269985613
2019-01-09 05:00:00+00:00,24.43,0.00493624023035788,67.03,0.006758786422349061,31.41,-0.004121750158528781,106.52,0.0008456262332048325,83.55,0.00047898455274797413
2019-01-10 05:00:00+00:00,24.44,0.00040933278755628244,67.94,0.013576010741459088,31.91,0.015918497293855527,106.4,-0.0011265490048816273,83.56,0.00011968880909640767
2019-01-11 05:00:00+00:00,24.5,0.002454991816693841,67.87,-0.0010303208713570156,31.97,0.0018802883108743895,106.55,0.0014097744360901387,83.61,0.0005983724269984503
2019-01-14 05:00:00+00:00,24.64,0.005714285714285783,67.86,-0.00014734050390463604,31.87,-0.0031279324366593197,106.4,-0.001407789770060952,83.61,0.0
2019-01-15 05:00:00+00:00,24.89,0.01014610389610393,67.65,-0.0030946065428822944,32.23,0.011295889551302007,106.42,0.0001879699248119593,83.64,0.00035880875493354836
2019-01-16 05:00:00+00:00,25.42,0.021293692245881957,67.72,0.0010347376201034209,32.38,0.004654049022649875,106.51,0.0008457056944184416,83.62,-0.0002391200382592107
2019-01-17 05:00:00+00:00,25.55,0.005114083398898517,68.88,0.017129356172474797,32.54,0.00494132180358231,106.43,-0.000751103182799695,83.61,-0.0001195886151639236
2019-01-18 05:00:00+00:00,26.02,0.018395303326810053,70.19,0.019018583042973214,32.66,0.003687768899815591,106.35,-0.0007516677628489621,83.54,-0.0008372204281783535
2019-01-22 05:00:00+00:00,25.7,-0.012298232129131503,68.74,-0.020658213420715277,32.6,-0.0018371096142068,106.44,0.0008462623413258985,83.61,0.000837921953555032
2019-01-23 05:00:00+00:00,25.73,0.0011673151750972721,68.84,0.0014547570555718536,32.62,0.0006134969325151118,106.55,0.0010334460729048978,83.59,-0.00023920583662240258
